date,open,high,low,close,volume
4/27/2020,212.1843,212.626,210.5354,211.5758,36451698
4/28/2020,213.2542,213.3032,207.3062,207.5908,45753512
4/29/2020,212.2138,215.9043,211.1635,214.9522,48716406
4/30/2020,215.9435,215.973,213.3327,214.8638,43359476
5/1/2020,210.5746,212.6652,207.7675,208.8079,48794968
5/4/2020,207.6988,211.4678,207.2178,211.242,32841020
5/5/2020,213.3818,216.0711,212.8419,213.637,37783075
5/6/2020,215.3153,216.9545,214.0786,214.9522,36455218
5/7/2020,217.6514,218.6132,216.3459,217.7201,38624836
5/8/2020,219.4181,220.8413,218.3679,220.7039,31964416
5/11/2020,219.369,223.7171,219.1236,222.6767,35085558
5/12/2020,223.2754,223.8791,217.9851,218.0145,41054123
5/13/2020,218.5347,220.4585,212.7045,215.2859,65521208
5/14/2020,214.0884,217.7691,211.9978,217.7299,51549345
5/15/2020,214.7264,219.2022,214.2946,219.1433,55268920
5/18/2020,222.0976,224.4533,221.3026,223.2264,42597551
5/19/2020,223.4521,225.6016,222.5197,222.6669,36237303
5/20/2020,225.2385,227.4763,225.2385,227.1132,37417000
5/21/2020,227.2113,227.8444,224.1196,224.6398,43642908
5/22/2020,224.2373,225.6213,223.2951,225.4152,28762389
5/26/2020,229.1253,229.2529,224.5612,224.8066,33055346
5/27/2020,224.2864,226.1513,219.8009,226.0335,55665565
5/28/2020,224.8164,229.1547,224.8164,225.7391,43008478
5/29/2020,226.1709,229.2823,224.5318,229.0468,50878596
6/1/2020,228.1045,230.1166,227.7119,229.7338,26140125
6/2/2020,230.0872,231.3337,227.7217,231.2748,32913287
6/3/2020,231.8637,233.0808,231,232.3152,37228701
6/4/2020,231.9521,233.3949,229.3609,230.6859,38716097
6/5/2020,231.6969,235.8555,231.2748,235.2598,47365569
6/8/2020,235.1125,237.213,233.5127,237.0854,32937305
6/9/2020,236.2118,239.6668,236.0253,238.803,35046254
6/10/2020,240.4716,243.2346,239.9907,241.6691,58084410
6/11/2020,237.8117,239.0877,229.6357,229.6946,72919442
6/12/2020,234.6709,235.9566,227.4567,231.5202,72034787
6/15/2020,228.1438,235.0242,227.1917,234.3371,45307371
6/16/2020,239.2742,239.8729,234.6807,238.3614,48890095
6/17/2020,239.8827,240.9624,238.2436,239.1171,34749268
6/18/2020,238.7932,240.0103,238.008,239.7649,30578648
6/19/2020,242.1795,242.4347,237.9688,239.7257,49422112
6/22/2020,239.6758,242.7237,239.2923,242.5959,24068676
6/23/2020,244.2182,246.9318,243.6577,244.6606,32767370
6/24/2020,243.8249,245.1375,238.0928,239.6168,45709670
6/25/2020,239.8134,242.2026,237.0899,241.8978,36940811
6/26/2020,241.6225,241.829,235.6545,236.1854,52824554
6/29/2020,235.9494,238.7712,233.3636,238.7614,34377800
6/30/2020,238.6926,243.992,238.5057,243.4414,38909219
7/1/2020,243.5004,247.2956,242.9304,246.2829,34685690
7/2/2020,248.7212,249.9994,247.4824,247.9543,32023478
7/6/2020,251.1694,254.5792,251.1399,254.0502,34587050
7/7/2020,253.7651,256.4984,251.9953,252.3001,36695837
7/8/2020,253.6668,255.6528,252.192,255.6233,30452321
7/9/2020,257.4914,258.455,253.303,257.7766,40609204
7/10/2020,257.5996,259.7921,254.9056,259.5365,32879879
7/13/2020,262.3878,265.2587,253.362,254.1977,64127311
7/14/2020,251.7692,256.4099,248.5148,255.997,72228142
7/15/2020,257.285,258.278,253.1653,256.5181,54472875
7/16/2020,253.6373,255.4169,251.3267,254.7679,47590557
7/17/2020,255.348,255.938,252.8507,255.0629,36287018
7/20/2020,255.7512,262.9384,254.4435,262.2993,40627842
7/21/2020,263.9019,263.9019,258.7057,259.566,43438515
7/22/2020,260.0183,261.4242,258.1403,260.4804,29884404
7/23/2020,260.1068,260.7852,252.2411,253.6766,51363538
7/24/2020,249.8519,252.6147,247.099,251.2677,54054536
7/27/2020,253.0375,256.1444,252.1379,255.7512,36445054
7/28/2020,254.9744,255.4857,252.2018,252.4967,31302390
7/29/2020,253.9912,256.2821,253.5783,255.407,27556884
7/30/2020,253.4505,257.3144,252.2411,256.7442,41774456
7/31/2020,261.3653,261.4832,256.4689,261.3259,53756159
8/3/2020,263.548,265.6127,263.371,264.8556,32081566
8/4/2020,264.2264,265.9372,263.5873,265.8388,24911286
8/5/2020,266.2813,266.9597,265.4259,266.4976,21530561
8/6/2020,266.2321,270.3616,265.652,270.0273,28048224
8/7/2020,269.4374,270.265,264.7229,266.9105,44969356
8/10/2020,267.176,267.412,262.1911,265.77,35088373
8/11/2020,264.5803,265.8978,260.1854,260.736,43104323
8/12/2020,262.8794,268.2575,262.8794,267.294,38419553
8/13/2020,268.0609,270.2141,266.9499,267.9036,31895717
8/14/2020,268.4247,268.8081,266.1731,267.5889,30799494
8/17/2020,269.3095,271.2071,267.6261,270.6959,24802966
8/18/2020,271.7676,273.788,270.2927,273.3014,23121678
8/19/2020,273.262,274.3337,270.9417,271.4628,31999359
8/20/2020,270.6762,275.72,270.2436,275.2284,27723379
8/21/2020,275.3661,277.598,274.7673,277.1359,34748934
8/24/2020,280.2723,281.1965,276.5459,278.8663,36418533
8/25/2020,278.0306,281.2555,277.6275,281.0588,34375238
8/26/2020,282.2878,287.312,281.0284,287.0564,42216690
8/27/2020,288.1576,288.9156,283.8561,286.1617,49482715
8/28/2020,287.3612,288.2559,286.0437,287.6168,28021022
8/31/2020,288.2362,291.761,287.7053,289.9273,36321027
9/1/2020,292.6017,295.0007,290.8221,294.8827,36395774
9/2/2020,298.1666,298.4026,291.9036,297.675,50836767
9/3/2020,293.1916,293.6045,279.6332,282.5828,110083282
9/4/2020,280.9605,284.0773,267.235,278.8171,123958978
9/8/2020,267.6971,273.5472,265.1309,265.4161,99568645
9/9/2020,270.9122,275.3415,268.4148,273.2129,64837872
9/10/2020,276.251,277.4554,266.0158,267.7659,69667462
9/11/2020,269.7225,270.5975,262.4173,265.9077,71809014
9/14/2020,269.6733,272.564,268.3755,270.5386,38525194
9/15/2020,274.2157,275.7397,270.5122,274.373,41331871
9/16/2020,275.0711,275.6512,269.6438,269.9978,42435626
9/17/2020,263.0269,269.7869,262.201,265.7798,81570844
9/18/2020,267.058,267.5201,258.219,262.3878,84439733
9/21/2020,258.4854,263.5366,256.1125,263.3988,57168570
9/22/2020,265.8997,268.8832,262.4437,268.2924,41128886
9/23/2020,267.9674,268.1545,259.2044,260.1002,48837270
9/24/2020,257.5599,264.5705,257.2054,261.3113,70631704
9/25/2020,261.7347,268.2087,260.238,267.3865,55242376
9/28/2020,272.3638,272.9398,267.4988,272.9398,58438286
9/29/2020,272.4672,273.442,271.1398,271.709,27178921
9/30/2020,271.8469,276.77,271.6319,273.57,49380802
10/1/2020,277.4593,278.5319,275.5393,277.9122,50020223
10/2/2020,271.7681,277.9036,269.2376,270.0942,75497391
10/5/2020,272.0931,276.1793,271.9847,275.8543,28184581
10/6/2020,274.9977,276.8685,270.0352,270.9312,49704236
10/7/2020,273.5602,276.4254,273.0186,275.618,27539663
10/8/2020,277.9811,278.1288,276.002,277.0851,25443287
10/9/2020,278.7393,281.3978,278.3652,281.319,30201144
10/12/2020,286.1339,292.8885,285.0213,290.0035,79370657
10/13/2020,291.7857,292.4844,288.6053,289.9937,64240031
10/14/2020,290.7814,291.7955,285.7991,287.5715,37181227
10/15/2020,282.8354,286.2422,282.1363,285.6416,42514177
10/16/2020,287.3155,288.7619,283.7215,284.076,40570702
10/19/2020,286.0256,287.0004,278.4439,279.4384,36756754
10/20/2020,280.1867,283.1997,278.6015,280.039,32195361
10/21/2020,280.295,282.9043,279.3301,279.8224,29306137
10/22/2020,280.6692,281.5849,276.5042,279.8126,32196162
10/23/2020,280.4132,280.5313,277.4512,280.364,24658542
10/26/2020,277.9811,280.9153,272.5066,276.1596,38421094
10/27/2020,277.095,279.1479,275.8937,278.3159,30559123
10/28/2020,273.8555,274.3578,267.2093,267.4653,53413523
10/29/2020,268.8438,275.1946,268.3318,272.1423,43246302
10/30/2020,270.1582,271.01,262.9655,265.24,65935893
11/2/2020,267.5539,269.3164,262.8671,265.8308,39987409
11/3/2020,267.6819,272.5657,266.6776,270.429,43604145
